"","title","WorkerId","social","know","error","v.trend.error"
"1","Licensed Practical and Licensed Vocational Nurses","A2DJNG082ZHH20",-1,1,-0.180274824586596,0
"2","Licensed Practical and Licensed Vocational Nurses","A358YR7MWC6LRH",-1,1,-1.20112774805814,1
"3","Licensed Practical and Licensed Vocational Nurses","A9JHTV37LSE5F",-2,1,-0.708616044948959,0
"4","Licensed Practical and Licensed Vocational Nurses","A8DZPG6LG0M3J",0,0,-0.180274824586596,1
"5","Licensed Practical and Licensed Vocational Nurses","AKATCXM6HXIU7",2,1,-0.840011575991668,0
"6","Licensed Practical and Licensed Vocational Nurses","A2AQ06Z9QIHNX5",-2,0,-0.708616044948959,0
"7","Licensed Practical and Licensed Vocational Nurses","AHMFDP04U8I02",-1,0,-1.20112774805814,0
"8","Licensed Practical and Licensed Vocational Nurses","A28JXW5YZJDNK4",1,1,1.17458819220341,0
"9","Licensed Practical and Licensed Vocational Nurses","A2ZKJP3R23LRDM",-1,1,-1.20112774805814,0
"10","Licensed Practical and Licensed Vocational Nurses","A3J57G3L42PDR4",-2,1,-0.708616044948959,0
"11","Licensed Practical and Licensed Vocational Nurses","A10YOLDH7F5J7F",-2,0,-1.20112774805814,0
"12","Licensed Practical and Licensed Vocational Nurses","A323WW03VM8089",2,1,-0.708616044948959,0
"13","Licensed Practical and Licensed Vocational Nurses","A24ZKEJTS1O4IW",0,1,-0.180274824586596,0
"14","Licensed Practical and Licensed Vocational Nurses","AC1ZUVOEWWZ3H",-2,0,-1.20112774805814,0
"15","Licensed Practical and Licensed Vocational Nurses","AQHEUOC8K27FR",-1,1,-0.840011575991668,1
"16","Licensed Practical and Licensed Vocational Nurses","AVAOZJAR2JLKH",-1,1,1.80701457117797,0
"17","Licensed Practical and Licensed Vocational Nurses","A15I7L8DS3FV6U",-2,1,0.0213519410644814,0
"18","Licensed Practical and Licensed Vocational Nurses","A23H9YT8Y0K7IG",-2,0,0.681088692469554,0
"19","Licensed Practical and Licensed Vocational Nurses","A1XAOEDK0Y2KBT",-2,1,-0.180274824586596,0
"20","Licensed Practical and Licensed Vocational Nurses","AL03X7TW8ZCB0",-2,1,-0.180274824586596,0
"21","Licensed Practical and Licensed Vocational Nurses","AXXE3YFPKF64O",1,1,-0.708616044948959,1
"22","Licensed Practical and Licensed Vocational Nurses","AFDC9A6Z60W2Z",-1,1,-0.708616044948959,0
"23","Licensed Practical and Licensed Vocational Nurses","A1AA20GYIOFY7N",0,1,0.277395157894084,0
"24","Licensed Practical and Licensed Vocational Nurses","A15FHCYJJXEFDN",-2,1,-0.708616044948959,0
"25","Licensed Practical and Licensed Vocational Nurses","A3ER967LRUC39Y",-1,1,-0.840011575991668,0
"26","Licensed Practical and Licensed Vocational Nurses","A2M5VW97GIYLHB",0,1,-0.708616044948959,1
"27","Licensed Practical and Licensed Vocational Nurses","A2SG52VOQKJL2P",1,1,0.277395157894084,1
"28","Licensed Practical and Licensed Vocational Nurses","A3C5DI9OH71AZC",-2,0,-0.180274824586596,2
"29","Licensed Practical and Licensed Vocational Nurses","A3760PCQD2MPIO",0,1,-1.20112774805814,0
"30","Retail Salespersons","AA9PW65NC1SK5",1,1,0.43528690748839,0
"31","Retail Salespersons","A3FAURB3U6YND5",0,1,-0.233093618944034,1
"32","Retail Salespersons","A3760PCQD2MPIO",-1,1,-1.21910482178708,0
"33","Retail Salespersons","A2DJNG082ZHH20",-2,1,-0.787192781634231,2
"34","Retail Salespersons","A8TCR99262PGK",1,1,0.170599915631437,1
"35","Retail Salespersons","A2OR1BA9B4AXE3",-1,1,0.170599915631437,0
"36","Retail Salespersons","AQHEUOC8K27FR",1,1,0.170599915631437,0
"37","Retail Salespersons","A28XFC7F3F89W8",1,1,-0.233093618944034,0
"38","Retail Salespersons","A24ZKEJTS1O4IW",1,1,-0.594209791010506,0
"39","Retail Salespersons","A3FWFXTCHEX9UM",1,1,-0.787192781634231,0
"40","Retail Salespersons","A16PU53B41CJ22",0,1,0.170599915631437,2
