"OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"00-0000","All Occupations","total","130,287,700",0.1,22.01,"45,790",0.1,8.70,10.81,16.71,27.02,41.74,"18,090","22,480","34,750","56,200","86,810",,
"43-0000","Office and Administrative Support Occupations","major","21,355,350",0.1,16.54,"34,410",0.1,9.17,11.51,15.15,20.18,26.13,"19,070","23,940","31,510","41,970","54,350",,
"41-0000","Sales and Related Occupations","major","13,835,090",0.2,18.26,"37,990",0.2,8.25,9.12,12.08,20.88,35.60,"17,170","18,970","25,120","43,430","74,040",,
"35-0000","Food Preparation and Serving Related Occupations","major","11,546,880",0.1,10.28,"21,380",0.2,7.84,8.38,9.10,11.11,14.60,"16,310","17,430","18,930","23,120","30,360",,
"53-0000","Transportation and Material Moving Occupations","major","8,771,690",0.3,16.15,"33,590",0.3,8.56,10.06,13.92,19.41,26.83,"17,800","20,930","28,960","40,380","55,810",,
"51-0000","Production Occupations","major","8,594,170",0.3,16.59,"34,500",0.2,9.02,11.05,14.87,20.26,27.11,"18,760","22,990","30,920","42,140","56,380",,
"25-0000","Education, Training, and Library Occupations","major","8,374,910",0.3,24.62,"51,210",0.5,9.94,14.66,22.13,30.85,41.54,"20,670","30,490","46,020","64,170","86,400",,
"41-2000","Retail Sales Workers","minor","8,326,900",0.2,11.35,"23,610",0.2,8.01,8.63,9.56,12.20,17.24,"16,650","17,950","19,890","25,370","35,860",,
"29-0000","Healthcare Practitioners and Technical Occupations","major","7,649,930",0.3,35.35,"73,540",0.2,14.84,20.56,28.94,40.69,61.54,"30,870","42,760","60,200","84,630","128,000",,
"35-3000","Food and Beverage Serving Workers","minor","6,485,990",0.3,9.54,"19,840",0.3,7.78,8.25,8.88,9.77,12.87,"16,170","17,150","18,460","20,320","26,760",,
"13-0000","Business and Financial Operations Occupations","major","6,419,370",0.3,33.44,"69,550",0.2,16.88,22.28,30.05,40.61,53.50,"35,110","46,340","62,500","84,470","111,280",,
"11-0000","Management Occupations","major","6,390,430",0.2,52.20,"108,570",0.1,22.12,31.56,45.15,65.20,"#","46,000","65,650","93,910","135,620","#",,
"43-4000","Information and Record Clerks","minor","5,240,790",0.3,15.35,"31,940",0.1,9.09,11.12,14.28,18.41,22.95,"18,900","23,130","29,710","38,300","47,730",,
"49-0000","Installation, Maintenance, and Repair Occupations","major","5,069,590",0.3,21.09,"43,870",0.1,10.92,14.56,19.72,26.63,33.69,"22,720","30,290","41,020","55,390","70,080",,
"47-0000","Construction and Extraction Occupations","major","4,978,290",0.3,21.61,"44,960",0.2,11.15,14.37,19.29,27.19,35.61,"23,190","29,900","40,120","56,560","74,070",,
"29-1000","Health Diagnosing and Treating Practitioners","minor","4,680,350",0.4,44.18,"91,890",0.2,22.49,27.47,35.29,49.69,79.60,"46,780","57,140","73,410","103,360","165,560",,
"41-2030","Retail Salespersons","broad","4,340,000",0.3,12.17,"25,310",0.2,8.09,8.79,10.15,13.41,18.73,"16,840","18,290","21,110","27,900","38,960",,
"41-2031","Retail Salespersons","detailed","4,340,000",0.3,12.17,"25,310",0.2,8.09,8.79,10.15,13.41,18.73,"16,840","18,290","21,110","27,900","38,960",,
"37-0000","Building and Grounds Cleaning and Maintenance Occupations","major","4,246,260",0.3,12.34,"25,670",0.2,8.12,8.95,10.91,14.44,18.93,"16,890","18,630","22,690","30,030","39,360",,
"53-7000","Material Moving Workers","minor","4,036,120",0.4,13.15,"27,350",0.3,8.32,9.24,11.65,15.60,20.41,"17,310","19,230","24,230","32,450","42,450",,
"25-2000","Preschool, Primary, Secondary, and Special Education School Teachers","minor","4,033,290",0.3,"*","54,550",0.7,"*","*","*","*","*","32,200","41,230","52,240","66,510","82,590","TRUE",
"13-1000","Business Operations Specialists","minor","3,987,180",0.3,32.66,"67,940",0.2,16.65,22.04,29.92,40.07,51.94,"34,630","45,850","62,230","83,350","108,020",,
"31-0000","Healthcare Support Occupations","major","3,915,460",0.4,13.36,"27,780",0.2,8.62,10.03,12.28,15.64,19.51,"17,920","20,850","25,550","32,520","40,590",,
"43-9000","Other Office and Administrative Support Workers","minor","3,846,420",0.4,14.62,"30,410",0.2,8.75,10.52,13.74,17.62,22.02,"18,190","21,890","28,590","36,650","45,790",,
