"Education and training classification by detailed occupation",,,,
"This table has been updated to correct errors in the category assignments for select occupations. More information on the changes is available at http://www.bls.gov/errata/emp_corrections_01132012.htm",,,,
"2010 National Employment Matrix title and code",,"Typical education needed for entry","Work experience in a related occupation","Typical on-the-job training needed to attain competency in the occupation"
"Chief Executives","11-1011","Bachelor's degree","More than 5 years","None"
"General and Operations Managers","11-1021","Associate's degree","1 to 5 years","None"
"Legislators","11-1031","Bachelor's degree","1 to 5 years","None"
"Advertising and Promotions Managers","11-2011","Bachelor's degree","1 to 5 years","None"
"Marketing Managers","11-2021","Bachelor's degree","1 to 5 years","None"
"Sales Managers","11-2022","Bachelor's degree","1 to 5 years","None"
"Public Relations and Fundraising Managers","11-2031","Bachelor's degree","1 to 5 years","None"
"Administrative Services Managers","11-3011","High school diploma or equivalent","1 to 5 years","None"
"Computer and Information Systems Managers","11-3021","Bachelor's degree","More than 5 years","None"
"Financial Managers","11-3031","Bachelor's degree","More than 5 years","None"
"Industrial Production Managers","11-3051","Bachelor's degree","1 to 5 years","None"
"Purchasing Managers","11-3061","Bachelor's degree","More than 5 years","None"
"Transportation, Storage, and Distribution Managers","11-3071","High school diploma or equivalent","More than 5 years","None"
"Compensation and Benefits Managers","11-3111","Bachelor's degree","1 to 5 years","None"
"Human Resources Managers","11-3121","Bachelor's degree","1 to 5 years","None"
"Training and Development Managers","11-3131","Bachelor's degree","1 to 5 years","None"
"Farmers, Ranchers, and Other Agricultural Managers","11-9013","High school diploma or equivalent","More than 5 years","None"
"Construction Managers","11-9021","Associate's degree","More than 5 years","None"
"Education Administrators, Preschool and Childcare Center/Program","11-9031","Bachelor's degree","1 to 5 years","None"
"Education Administrators, Elementary and Secondary School","11-9032","Master's degree","1 to 5 years","None"
"Education Administrators, Postsecondary","11-9033","Master's degree","1 to 5 years","None"
"Education Administrators, All Other","11-9039","Bachelor's degree","1 to 5 years","None"
"Architectural and Engineering Managers","11-9041","Bachelor's degree","More than 5 years","None"
"Food Service Managers","11-9051","High school diploma or equivalent","1 to 5 years","None"
"Gaming Managers","11-9071","Some college, no degree","More than 5 years","None"
"Lodging Managers","11-9081","High school diploma or equivalent","1 to 5 years","None"
"Medical and Health Services Managers","11-9111","Bachelor's degree","None","None"
"Natural Sciences Managers","11-9121","Bachelor's degree","More than 5 years","None"
"Postmasters and Mail Superintendents","11-9131","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training"
"Property, Real Estate, and Community Association Managers","11-9141","High school diploma or equivalent","1 to 5 years","None"
"Social and Community Service Managers","11-9151","Bachelor's degree","1 to 5 years","None"
"Emergency Management Directors","11-9161","Bachelor's degree","1 to 5 years","Long-term on-the-job training"
"Managers, All Other","11-9199","High school diploma or equivalent","1 to 5 years","None"
"Agents and Business Managers of Artists, Performers, and Athletes","13-1011","Bachelor's degree","1 to 5 years","None"
"Buyers and Purchasing Agents, Farm Products","13-1021","High school diploma or equivalent","None","Long-term on-the-job training"
"Wholesale and Retail Buyers, Except Farm Products","13-1022","High school diploma or equivalent","None","Long-term on-the-job training"
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023","High school diploma or equivalent","None","Long-term on-the-job training"
"Claims Adjusters, Examiners, and Investigators","13-1031","High school diploma or equivalent","None","Long-term on-the-job training"
"Insurance Appraisers, Auto Damage","13-1032","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Compliance Officers","13-1041","Bachelor's degree","None","Moderate-term on-the-job training"
